"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/26/2026","6/26/2026","6/29/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","0.012486","$83.29","($1.04)"
"6/26/2026","6/26/2026","6/29/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","24","$83.29","($1,998.96)"
"6/24/2026","6/24/2026","6/25/2026","SPCX","SpaceX
CUSIP: 84615Q103","Buy","0.188978","$156.79","($29.63)"
"6/24/2026","6/24/2026","6/25/2026","SPCX","SpaceX
CUSIP: 84615Q103","Buy","3","$156.79","($470.37)"
"6/23/2026","6/23/2026","6/24/2026","AMD","AMD
CUSIP: 007903107","Buy","1.914351","$522.37","($1,000.00)"
"6/23/2026","6/23/2026","6/24/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.924895","$203.05","($187.80)"
"6/23/2026","6/23/2026","6/24/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","4","$203.05","($812.20)"
"6/22/2026","6/22/2026","6/22/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"6/18/2026","6/18/2026","6/22/2026","KO","Coca-Cola
CUSIP: 191216100
Dividend Reinvestment","Buy","0.350069","$79.47","($27.82)"
"6/17/2026","6/17/2026","6/17/2026","KO","Cash Div: R/D 2026-06-15 P/D 2026-07-01 - 52.499458 shares at 0.53","CDIV","","","$27.82"
"6/17/2026","6/17/2026","6/18/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","0.222539","$108.43","($24.13)"
"6/17/2026","6/17/2026","6/18/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","9","$108.43","($975.87)"
"6/16/2026","6/16/2026","6/17/2026","CRM","Salesforce
CUSIP: 79466L302
Dividend Reinvestment","Buy","0.026169","$165.84","($4.34)"
"6/15/2026","6/15/2026","6/15/2026","CRM","Cash Div: R/D 2026-06-11 P/D 2026-07-02 - 9.86074 shares at 0.44","CDIV","","","$4.34"
"6/12/2026","6/12/2026","6/15/2026","AAPL","Apple
CUSIP: 037833100","Buy","0.448557","$289.98","($130.07)"
"6/12/2026","6/12/2026","6/15/2026","AAPL","Apple
CUSIP: 037833100","Buy","3","$289.98","($869.93)"
"6/12/2026","6/12/2026","6/15/2026","AMZN","Amazon
CUSIP: 023135106","Buy","0.22824","$236.50","($53.98)"
"6/12/2026","6/12/2026","6/15/2026","AMZN","Amazon
CUSIP: 023135106","Buy","4","$236.50","($946.02)"
"6/12/2026","6/12/2026","6/15/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","0.896447","$105.84","($94.88)"
"6/12/2026","6/12/2026","6/15/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","18","$105.84","($1,905.12)"
"6/12/2026","6/12/2026","6/15/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","19.205838","$104.14","($2,000.00)"
"6/11/2026","6/11/2026","6/12/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305
Dividend Reinvestment","Buy","0.077696","$349.05","($27.12)"
"6/10/2026","6/10/2026","6/10/2026","GOOGL","Cash Div: R/D 2026-06-08 P/D 2026-06-15 - 123.283047 shares at 0.22","CDIV","","","$27.12"
